group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),四角,0,0.5,,1,1,0,0,0,1,true,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),四角,0,0.6666666666666666,,1,1,0,0,0,1,true,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),四角,0,1,,1,1,0.041666666666666664,0.041666666666666664,0.9999999999999984,0,false,0,0.1111111111111111,0.8639999999999999
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=3,3,0.3333333333333333,,1,1,0,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=3,3,0.5,,1,1,0,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=3,3,0.6666666666666666,,1,1,0,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=3,3,1,,1,1,0.027333333333333334,0.027333333333333334,0.9999999598759999,0,false,0.11145833333333334,0.09872685185185186,0.7677000000000002
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=4,4,0.3333333333333333,,1,1,0,0,0,1,true,0.0625,0.10416666666666667,0.81
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=4,4,0.5,,1,1,0,0,0,1,true,0.0625,0.10416666666666667,0.81
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=4,4,0.6666666666666666,,1,1,0,0,0,1,true,0.0625,0.10416666666666667,0.81
B,纯颜色型,native,0.520316,3,,,,3,1,1 bit (2色),密集N=4,4,1,,1,1,0.027333333333333334,0.027333333333333334,0.9999999598759999,0,false,0.0625,0.10416666666666667,0.81
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),无,0,0.3333333333333333,,1,2,0.4856666666666667,0.3655,1,0,false,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),无,0,0.5,,1,2,0.489,0.36766666666666664,1,0,false,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),无,0,0.6666666666666666,,1,2,0.493,0.37,1,0,false,0,0.2222222222222222,1.7279999999999998
